"name","site","type","phone","full_address","borough","rating","reviews","working_hours_old_format","location_link"
"Bob's Fresh Market","","Fruit and vegetable store","+389 71 252 510","Nikola Parapunov 41/5, Skopje 1000","Karposh","4","182","Monday: 7:30AM-8PM | Tuesday: 7:30AM-8PM | Wednesday: 7:30AM-8PM | Thursday: 7:30AM-8PM | Friday: 7:30AM-8PM | Saturday: 7:30AM-8PM | Sunday: 8AM-6PM","https://www.google.com/maps/place/Bob%27s+Fresh+Market/@42.008229899999996,21.383313899999997,14z/data=!4m8!1m2!2m1!1sBob%27s+Fresh+Market!3m4!1s0x135415b0a72487e3:0xc1db3e7f4b139df!8m2!3d42.008229899999996!4d21.383313899999997"
"My Market","","Supermarket","","Anri Barbis 47, Skopje 1000","Gazi Baba","4","2","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: 8AM-6PM","https://www.google.com/maps/place/My+Market/@41.9990774,21.492186099999998,14z/data=!4m8!1m2!2m1!1sMy+Market!3m4!1s0x13543fe07060aa97:0x76ad714960500278!8m2!3d41.9990774!4d21.492186099999998"
"Camerons Market of Goods","","Market","","Translovenia, Centar, Skopje 1000","Centar","","","","https://www.google.com/maps/place/Camerons+Market+of+Goods/@41.995377399999995,21.4243836,14z/data=!4m8!1m2!2m1!1sCamerons+Market+of+Goods!3m4!1s0x13541518016331f7:0x98e4fd700f66d946!8m2!3d41.995377399999995!4d21.4243836"
"Mel market","","Market","","Macedonia Square, Skopje 1000","Centar","","","","https://www.google.com/maps/place/Mel+market/@41.9972079,21.4330997,14z/data=!4m8!1m2!2m1!1sMel+market!3m4!1s0x135415b79a7bc3c7:0x2aa1db8201787254!8m2!3d41.9972079!4d21.4330997"
"Damjance Prom Market","","Market","","Nikola Trimpare 18, Skopje 1000","Centar","3.5","2","Monday: 7AM-9:30PM | Tuesday: 7AM-9:30PM | Wednesday: 7AM-9:30PM | Thursday: 7AM-9:30PM | Friday: 7AM-9:30PM | Saturday: 7AM-9:30PM | Sunday: 8AM-3PM","https://www.google.com/maps/place/Damjance+Prom+Market/@41.9967008,21.4200169,14z/data=!4m8!1m2!2m1!1sDamjance+Prom+Market!3m4!1s0x13541513c6b73f0f:0x645d47467b6c5079!8m2!3d41.9967008!4d21.4200169"
"Dragstor Beti","","Fresh food market","","Leninova 63, Skopje 1000","Centar","4","1","","https://www.google.com/maps/place/Dragstor+Beti/@41.9965877,21.4224064,14z/data=!4m8!1m2!2m1!1sDragstor+Beti!3m4!1s0x135415fc993d88c5:0x77784ac8c2a61552!8m2!3d41.9965877!4d21.4224064"
"Marvik - zdrava hrana (healthy food)","","Market","","Centar, Skopje, 1000","Centar","4","1","Monday: 8AM-8PM | Tuesday: 8AM-8PM | Wednesday: 8AM-8PM | Thursday: 8AM-8PM | Friday: 8AM-8PM | Saturday: 8AM-5PM | Sunday: Closed","https://www.google.com/maps/place/Marvik+-+zdrava+hrana+%28healthy+food%29/@41.9990603,21.419901,14z/data=!4m8!1m2!2m1!1sMarvik+-+zdrava+hrana+%28healthy+food%29!3m4!1s0x1354151b0123e7f7:0x88f99a6e51248ae1!8m2!3d41.9990603!4d21.419901"
"Kris Mari","","Market","","Shuto Orizari 116, Skopje 1000, 1000","Shuto Orizari","4.8","6","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: 7:30AM-3PM","https://www.google.com/maps/place/Kris+Mari/@42.0404838,21.4249817,14z/data=!4m8!1m2!2m1!1sKris+Mari!3m4!1s0x1354151d1525c187:0xf84ead151f8ef52b!8m2!3d42.0404838!4d21.4249817"
"Zur Market","http://zurmarket.mk/","Supermarket","+389 72 919 015","Aerodrom, Skopje, 1000","Aerodrom","4.2","43","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Zur+Market/@41.9827873,21.4557824,14z/data=!4m8!1m2!2m1!1sZur+Market!3m4!1s0x1354151123197263:0x6e8bd605d637fbb4!8m2!3d41.9827873!4d21.4557824"
"Lycamobile POS Market Metro","","Supermarket","","Kemal Sejfula b.b., Skopje 1000","Chair","4","133","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: 7AM-10PM","https://www.google.com/maps/place/Lycamobile+POS+Market+Metro/@42.0205767,21.443303699999998,14z/data=!4m8!1m2!2m1!1sLycamobile+POS+Market+Metro!3m4!1s0x135415110f9c1373:0x8a52bd0ac2d9815f!8m2!3d42.0205767!4d21.443303699999998"
"Reptil Market Centar Pestaloci","https://reptilmarketi.mk/","Supermarket","+389 71 316 596","Ul. Aminta treti br.54 Centar Skopje MK, 1000","Centar","4.5","22","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+Centar+Pestaloci/@41.997424699999996,21.422204999999998,14z/data=!4m8!1m2!2m1!1sReptil+Market+Centar+Pestaloci!3m4!1s0x1354157ccdc665a5:0x9f783351abffdc56!8m2!3d41.997424699999996!4d21.422204999999998"
"Pucan Market","","Grocery store","","Victor Hugo 4, Skopje 1000","Kisela Voda","5","2","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Pucan+Market/@41.9859753,21.4361698,14z/data=!4m8!1m2!2m1!1sPucan+Market!3m4!1s0x135415377074cb11:0x2c843a0e63087f78!8m2!3d41.9859753!4d21.4361698"
"Market Frateli","","Grocery store","","Blvd. Partizanski Odredi 1000, Skopje 1000","Centar","4.9","8","","https://www.google.com/maps/place/Market+Frateli/@41.9991097,21.419289199999998,14z/data=!4m8!1m2!2m1!1sMarket+Frateli!3m4!1s0x135415bc0520e3fd:0x95ae3fd8b4000f71!8m2!3d41.9991097!4d21.419289199999998"
"Market ToGo","","Market","","Hadzi Trajko 18, Skopje 1000","Aerodrom","","","","https://www.google.com/maps/place/Market+ToGo/@41.967273299999995,21.4851365,14z/data=!4m8!1m2!2m1!1sMarket+ToGo!3m4!1s0x13543fd6f2246223:0x8da1135ad30e7bfa!8m2!3d41.967273299999995!4d21.4851365"
"Reptil Market 16","","Grocery store","","Aminta the third 50, Skopje 1000","Centar","4.5","11","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+16/@41.9974209,21.422241099999997,14z/data=!4m8!1m2!2m1!1sReptil+Market+16!3m4!1s0x13541505d2c2d13f:0xbdebbc818e78223!8m2!3d41.9974209!4d21.422241099999997"
"DOOEL CAM Market","","Supermarket","+389 71 371 661","Gvadalahara 21, Skopje 1000","Shuto Orizari","5","1","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","https://www.google.com/maps/place/DOOEL+CAM+Market/@42.0304712,21.4342412,14z/data=!4m8!1m2!2m1!1sDOOEL+CAM+Market!3m4!1s0x1354154ec04fdaa5:0x53b25c735ca9dc65!8m2!3d42.0304712!4d21.4342412"
"Ajvar Market 2","http://www.pajdakov.com.mk/","Grocery store","+389 78 269 888","Kosturski Heroi 38, Skopje 1000","Centar","","","Monday: 9AM-8PM | Tuesday: 9AM-8PM | Wednesday: 9AM-8PM | Thursday: 9AM-8PM | Friday: 9AM-8PM | Saturday: 9AM-5PM | Sunday: Closed","https://www.google.com/maps/place/Ajvar+Market+2/@41.998560999999995,21.416916999999998,14z/data=!4m8!1m2!2m1!1sAjvar+Market+2!3m4!1s0x135415a712adacbf:0x814a972e47314c24!8m2!3d41.998560999999995!4d21.416916999999998"
"Reptil Market Kisela Voda","http://www.reptilmarketi.mk/","Supermarket","+389 2 277 9511","Tome Tomshic 25, Skopje 1000","Kisela Voda","4.2","163","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+Kisela+Voda/@41.9813427,21.4381503,14z/data=!4m8!1m2!2m1!1sReptil+Market+Kisela+Voda!3m4!1s0x135415cfe70c1475:0x4be26ce5f004fd41!8m2!3d41.9813427!4d21.4381503"
"Roleks Mareket","","Market","","Ul. Cvetan Dimov br. 210 Skopje MK, Skopje 1000","Chair","","","","https://www.google.com/maps/place/Roleks+Mareket/@42.0133049,21.4456912,14z/data=!4m8!1m2!2m1!1sRoleks+Mareket!3m4!1s0x135415f6606fc01b:0xfd58efe23c8814e4!8m2!3d42.0133049!4d21.4456912"
"Fresh market BOJDI","","Vegetable wholesale market","","Aerodrom, Skopje, 1000","Aerodrom","","","","https://www.google.com/maps/place/Fresh+market+BOJDI/@41.9854061,21.456587,14z/data=!4m8!1m2!2m1!1sFresh+market+BOJDI!3m4!1s0x135415da0cf5a8a7:0x62b66ddeb38ec464!8m2!3d41.9854061!4d21.456587"
"Se lis Market","","Grocery store","","Skopje 1000","Gjorche Petrov","5","1","","https://www.google.com/maps/place/Se+lis+Market/@42.007596299999996,21.3675504,14z/data=!4m8!1m2!2m1!1sSe+lis+Market!3m4!1s0x1354137f72c1f109:0xc734b019e010170f!8m2!3d42.007596299999996!4d21.3675504"
"Lycamobile POS-ETU Market TEBA","","Supermarket","","29-ti Noemvri Rd 4a, Skopje 1000","Centar","4","1","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Lycamobile+POS-ETU+Market+TEBA/@42.001546999999995,21.4186755,14z/data=!4m8!1m2!2m1!1sLycamobile+POS-ETU+Market+TEBA!3m4!1s0x1354144e53ce4803:0xc528a51513d66f23!8m2!3d42.001546999999995!4d21.4186755"
"Fresh Market & delivery","","Fruit and vegetable store","+389 75 455 446","3rd Macedonian Brigade Blvd 43, Skopje 1000","Aerodrom","4.9","8","Monday: 8AM-9PM | Tuesday: 8AM-9PM | Wednesday: 8AM-9PM | Thursday: 8AM-9PM | Friday: 8AM-9PM | Saturday: 8AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Fresh+Market+%26+delivery/@41.9807207,21.4579676,14z/data=!4m8!1m2!2m1!1sFresh+Market+%26+delivery!3m4!1s0x1354152f00e91405:0x85de1998a7cbf273!8m2!3d41.9807207!4d21.4579676"
"Markt","http://www.markt.mk/","Grocery store","+389 78 385 349","Leninova 29, Skopje 1000","Centar","4.2","18","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: 7:30AM-10PM","https://www.google.com/maps/place/Markt/@41.999617,21.4238139,14z/data=!4m8!1m2!2m1!1sMarkt!3m4!1s0x135415bca603f52b:0x18da450b7421e4bc!8m2!3d41.999617!4d21.4238139"
"Lycamobile POS ETU Market TEBA","","Supermarket","","Blvd. Partizanski Odredi 97, Skopje 1000","Karposh","","","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Lycamobile+POS+ETU+Market+TEBA/@42.0020923,21.399150499999998,14z/data=!4m8!1m2!2m1!1sLycamobile+POS+ETU+Market+TEBA!3m4!1s0x1354146bdc166725:0x710155d35c35d9bf!8m2!3d42.0020923!4d21.399150499999998"
"Fresh Market & delivery","","Fruit and vegetable store","+389 75 455 446","Pandil Shishkov 4, Skopje 1000","Aerodrom","5","1","Monday: 8AM-9PM | Tuesday: 8AM-9PM | Wednesday: 8AM-9PM | Thursday: 8AM-9PM | Friday: 8AM-9PM | Saturday: 8AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Fresh+Market+%26+delivery/@41.984679199999995,21.4522287,14z/data=!4m8!1m2!2m1!1sFresh+Market+%26+delivery!3m4!1s0x13541560eede257d:0x368afb624c2d76b0!8m2!3d41.984679199999995!4d21.4522287"
"Vero Supermarket - AMSM","http://vero.com.mk/","Supermarket","+389 2 322 0244","Mitropolit Teodosij Gologanov 51, Skopje 1000","Centar","4.3","335","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Vero+Supermarket+-+AMSM/@41.994926299999996,21.4208134,14z/data=!4m8!1m2!2m1!1sVero+Supermarket+-+AMSM!3m4!1s0x135414498c529be7:0x843ec7fa2a920aff!8m2!3d41.994926299999996!4d21.4208134"
"Tinex Delicatessen","https://www.facebook.com/DelicatessenTinex/","Supermarket","+389 71 340 785","Todor Aleksandrov Parking Garage, Vasil Glavinov 14, Skopje 1000","Centar","4.5","188","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Tinex+Delicatessen/@41.9932456,21.428709899999998,14z/data=!4m8!1m2!2m1!1sTinex+Delicatessen!3m4!1s0x135415b539271d27:0xe195e9f030a36983!8m2!3d41.9932456!4d21.428709899999998"
"Bolero Pinguin","","Grocery store","+389 70 204 477","MK, Kosturski Heroi 42/1, Skopje 1000","Centar","4.4","5","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: 8AM-5PM","https://www.google.com/maps/place/Bolero+Pinguin/@41.9977915,21.4169703,14z/data=!4m8!1m2!2m1!1sBolero+Pinguin!3m4!1s0x135415db1b070ff7:0x7dc35357fb309b92!8m2!3d41.9977915!4d21.4169703"
"Palma Cafe Forest Bar Skopje","","Market","","Aerodrom, Skopje, 1000","Aerodrom","5","1","","https://www.google.com/maps/place/Palma+Cafe+Forest+Bar+Skopje/@41.9885516,21.4533162,14z/data=!4m8!1m2!2m1!1sPalma+Cafe+Forest+Bar+Skopje!3m4!1s0x135415a050e472c7:0x205ca3a95a8dcf56!8m2!3d41.9885516!4d21.4533162"
"Mok petrol","","Grocery store","","Dushan Taskovic, Skopje 1000","Gazi Baba","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","https://www.google.com/maps/place/Mok+petrol/@42.0149802,21.452535599999997,14z/data=!4m8!1m2!2m1!1sMok+petrol!3m4!1s0x1354150b0759f43f:0x23100e706c2b24ff!8m2!3d42.0149802!4d21.452535599999997"
"Bottega del Gusto","https://instagram.com/bdg.skopje","Italian grocery store","+389 75 317 267","MK, Maksim Gorki 21, Skopje 1000","Centar","4.8","9","Monday: 9AM-9PM | Tuesday: 9AM-9PM | Wednesday: 9AM-9PM | Thursday: 9AM-9PM | Friday: 9AM-9PM | Saturday: 9AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Bottega+del+Gusto/@41.996146499999995,21.4282067,14z/data=!4m8!1m2!2m1!1sBottega+del+Gusto!3m4!1s0x13541510c31a57b7:0x67add232387387cd!8m2!3d41.996146499999995!4d21.4282067"
"Harbin Supermarket","","Grocery store","+389 70 340 422","Skopje 1000","Shuto Orizari","4.3","164","Monday: 6:45AM-11PM | Tuesday: 6:45AM-11PM | Wednesday: 6:45AM-11PM | Thursday: 6:45AM-11PM | Friday: 6:45AM-11PM | Saturday: 6:45AM-11PM | Sunday: 6:45AM-11PM","https://www.google.com/maps/place/Harbin+Supermarket/@42.0325138,21.4281059,14z/data=!4m8!1m2!2m1!1sHarbin+Supermarket!3m4!1s0x135415207d1bedb1:0xc00c2595e82c181d!8m2!3d42.0325138!4d21.4281059"
"Supermarket","","Grocery store","","Gjorgji Kapchev 45, Skopje 1000","Aerodrom","4","7","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: 7AM-10PM","https://www.google.com/maps/place/Supermarket/@41.977058899999996,21.493264399999997,14z/data=!4m8!1m2!2m1!1sSupermarket!3m4!1s0x13543e142afccedb:0x2b9b76b920dc6488!8m2!3d41.977058899999996!4d21.493264399999997"
"Vero Aerodrom","http://www.vero.com.mk/","Supermarket","+389 2 244 7610","Skopje 1000","Aerodrom","4.3","575","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Vero+Aerodrom/@41.9845525,21.468712099999998,14z/data=!4m8!1m2!2m1!1sVero+Aerodrom!3m4!1s0x1354158cabecd31d:0x590664d9c3ec74a2!8m2!3d41.9845525!4d21.468712099999998"
"DIA MARKET 2","","Supermarket","","Ferid Bajram 41, Skopje 1000","Butel","4.4","14","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","https://www.google.com/maps/place/DIA+MARKET+2/@42.0209915,21.449359899999997,14z/data=!4m8!1m2!2m1!1sDIA+MARKET+2!3m4!1s0x135415d0950a8b8f:0x897f2c19e8900c51!8m2!3d42.0209915!4d21.449359899999997"
"Ramstore Debar Maalo","http://ramstore.com.mk/","Supermarket","+389 2 324 8217","MK, Blagoj Davkov 2, Skopje 1000","Centar","3.9","206","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Ramstore+Debar+Maalo/@42.0011489,21.4169809,14z/data=!4m8!1m2!2m1!1sRamstore+Debar+Maalo!3m4!1s0x1354144f736efd57:0xaf1d361078942d42!8m2!3d42.0011489!4d21.4169809"
"Kipper","http://kipper.mk/","Discount supermarket","+389 76 361 223","John Kennedy 18, Skopje 1000","Chair","4.1","192","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: 8AM-10PM","https://www.google.com/maps/place/Kipper/@42.013456,21.435841399999997,14z/data=!4m8!1m2!2m1!1sKipper!3m4!1s0x13541506ee8af837:0x718d17ca7d72cdeb!8m2!3d42.013456!4d21.435841399999997"
"Tinex - East Gate","http://www.tinex.com.mk/","Supermarket","+389 70 251 722","Belasitsa 2 MK, Skopje 1000 1000, Skopie 1000","Gazi Baba","4.3","389","Monday: 9AM-10PM | Tuesday: 9AM-10PM | Wednesday: 9AM-10PM | Thursday: 9AM-10PM | Friday: 9AM-10PM | Saturday: 9AM-10PM | Sunday: 10AM-8PM","https://www.google.com/maps/place/Tinex+-+East+Gate/@41.997384,21.453217,14z/data=!4m8!1m2!2m1!1sTinex+-+East+Gate!3m4!1s0x135415626b8d921f:0xda0cd892326c37b9!8m2!3d41.997384!4d21.453217"
"KAM","http://kam.com.mk/","Discount supermarket","+389 2 310 9790","Jani Lukrovski 3, Skopje 1000","Gazi Baba","4.3","406","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/KAM/@42.002716,21.4623235,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x1354159d30c6d4db:0x1548c2a44d070eab!8m2!3d42.002716!4d21.4623235"
"Stokomak - Hipodrom","","Grocery store","+389 2 252 2081","Valandovska, Skopje 1000","Gazi Baba","4.3","110","Monday: 8AM-9:30PM | Tuesday: 8AM-9:30PM | Wednesday: 8AM-9:30PM | Thursday: 8AM-9:30PM | Friday: 8AM-9:30PM | Saturday: 8AM-9:30PM | Sunday: 8AM-3PM","https://www.google.com/maps/place/Stokomak+-+Hipodrom/@41.9953256,21.5098178,14z/data=!4m8!1m2!2m1!1sStokomak+-+Hipodrom!3m4!1s0x13543fb2b4c40b61:0xeb01ee90a40c00b4!8m2!3d41.9953256!4d21.5098178"
"Reptil Market Zelen Pazar","http://reptilmarketi.mk/","Supermarket","+389 72 807 245","11th October St. 16, Skopje 1000","Centar","3.9","16","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+Zelen+Pazar/@41.991539599999996,21.4336156,14z/data=!4m8!1m2!2m1!1sReptil+Market+Zelen+Pazar!3m4!1s0x13541557c610f3e7:0xd2bdefe7998410da!8m2!3d41.991539599999996!4d21.4336156"
"Stokomak","","Discount supermarket","","Butel, 1000, Skopje","Butel","4.5","141","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Stokomak/@42.0239471,21.4369822,14z/data=!4m8!1m2!2m1!1sStokomak!3m4!1s0x1354151986bf10f3:0xa3b71eeca6f87a93!8m2!3d42.0239471!4d21.4369822"
"KAM","http://kam.com.mk/","Discount store","+389 2 323 8096","487 2, Skopje 1000","Centar","4.3","272","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: Closed | Sunday: Closed","https://www.google.com/maps/place/KAM/@42.000712,21.417503999999997,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x1354144f76dbabc5:0x11bdb5acc3f0b59a!8m2!3d42.000712!4d21.417503999999997"
